傯	-1
梁	-1
姿	1
豫	-1
哺	1
潛	-1
並	-1
箴	-1
厥	-1
皂	1
景	-1
誕	1
氤	-1
薑	-1
給	-1
綺	-1
賽	1
馱	1
碌	-1
川	-1
瑣	-1
畏	1
屈	-1
巽	-1
微	-1
悍	-1
槍	-1
著	-1
抨	1
伕	1
刊	-1
熄	-1
娟	-1
壙	-1
覦	-1
予	-1
高	0
夕	0
哭	1
嫌	1
緬	-1
舍	1
坼	1
又	0
弼	1
拱	-1
宗	1
敢	-1
梔	-1
響	-1
鯉	1
鄙	-1
亞	0
蹈	-1
鈞	-1
芋	-1
錫	-1
撿	-1
阮	-1
窠	1
筵	1
益	-1
奪	1
擋	-1
勤	-1
菊	-1
臟	-1
憑	1
寅	1
玟	1
犢	-1
抄	-1
曠	-1
撻	-1
埋	1
私	1
亟	0
蛭	1
赭	-1
嗨	-1
澗	-1
祕	-1
庸	-1
千	1
嫖	-1
丑	-1
灤	-1
斧	1
甭	1
琅	-1
盒	1
穆	-1
胴	-1
女	0
鞦	-1
泅	-1
噗	-1
藩	-1
翳	1
諄	-1
嫣	1
循	-1
媽	1
驛	-1
批	1
迅	-1
曳	-1
斜	1
奕	1
恫	-1
胭	-1
幸	-1
濃	-1
醉	-1
亡	-1
佬	1
維	-1
斡	1
屎	1
習	1
麗	1
坤	-1
妄	1
撬	-1
異	-1
鎔	-1
棗	-1
卹	1
損	-1
藤	-1
踴	-1
韃	-1
痴	-1
消	-1
混	-1
煉	-1
襤	-1
讚	-1
襯	-1
運	-1
瀾	-1
瑚	-1
膽	-1
吹	1
唁	-1
勇	-1
旬	1
糜	1
磷	-1
蔽	-1
宥	-1
禧	-1
閡	-1
土	0
殿	1
落	-1
珍	-1
湊	-1
界	-1
封	1
嬸	-1
宜	-1
岫	-1
廈	-1
靠	-1
塹	1
葩	-1
另	1
犁	1
鐵	-1
洋	1
淇	1
韆	-1
麋	-1
針	1
索	1
厲	-1
船	-1
蓆	-1
陰	-1
濂	-1
鼙	1
洗	-1
收	-1
汽	1
倨	-1
溥	-1
狂	-1
台	1
